Tray,Plot,Treatment,27-May,28-May,29-May,30-May,6-Jun,7-Jun,8-Jun,9-Jun,25-Jun,26-Jun
F1,F1,Forest,15.437,15.529,15.048,14.818,15.343,15.219,14.929,14.895,14.893,15.375
F2,F2,Forest,15.778,11.854,14.989,14.894,15.364,15.183,11.394,14.885,14.915,10.825
F3,F3,Forest,16.184,15.498,15,13.711,15.33,15.207,14.89,14.885,14.799,15.349
F4,F4,Forest,15.676,15.247,14.959,14.838,15.23,15.173,14.951,14.9,14.846,15.257
F5,F5,Forest,14.876,15.513,14.865,14.746,15.347,15.254,14.704,14.93,14.825,15.388
F6,F6,Forest,15.993,15.5,14.958,14.765,15.293,14.714,14.895,14.886,14.822,15.25
23.3,23,Wind,14.409,14.917,14.835,14.761,15.57,15.55,14.961,14.831,14.78,15.062
22.3,22,Animal,14.965,15.084,14.741,14.824,15.68,15.009,14.977,15.103,14.675,14.889
21.4,21,Wind,14.924,15.08,14.875,14.764,15.234,14.872,14.938,14.939,14.938,14.966
18.1,18,Wind,15.355,15.182,14.867,14.868,15.871,15.071,14.96,14.963,14.661,14.855
17.4,17,Control,15.081,11.16,14.845,14.832,15.692,13.346,10.791,6.524,14.693,14.745
16.1,16,Animal,16.008,15.391,14.897,14.791,15.391,15.049,14.897,15.001,13.973,14.357
15.2,15,Control,10.823,10.518,7.384,14.821,15.555,14.915,14.757,14.577,14.441,14.715
12.1,12,Animal,4.521,5.695,1.874,2.518,7.345,5.553,7.781,6.079,0.563,6.516
13.3,13,Wind,15.435,15.444,14.879,14.76,15.52,14.613,14.481,13.759,12.692,14.484
10.3,10,Control,13.842,14.684,14.148,13.293,14.52,14.1,13.715,11.028,14.115,14.319
8.1,8,Control,15.332,15.302,14.881,14.802,10.854,14.768,11.056,14.572,14.641,14.872
7.1,7,Animal,15.421,13.318,13.55,13.88,14.415,13.32,12.075,13.188,9.253,12.29
4.4,4,Animal,15.144,15.408,14.911,14.828,15.343,15.027,14.952,14.99,14.666,14.922
5.2,5,Wind,14.931,15.378,14.932,12.494,7.856,11.449,12.236,10.818,14.817,10.912
6.1,6,Control,15.233,13.433,14.48,14.945,15.613,15.141,14.965,14.938,14.61,14.835
3.2,3,Wind,14.308,15.401,13.253,13.082,15.354,15.231,15.039,14.919,14.589,14.821
2.2,2,Animal,16.271,14.672,14.396,14.42,14.653,9.851,11.849,12.447,14.693,14.463
1.1,1,Control,10.717,10.795,8.837,9.621,11.908,12.532,8.137,11.095,9.554,8.316
